Date Announced (dateann),Unique DEAL ID (master_deal_no),Target Name (tmanames),Acquiror Name (amanames),Acquiror is a Financial Sponsor (Yes/No Flag) (afinancial),Acquiror is a Leverage Buyout Firm (albofirm),Acquiror is a Limited Partnership Flag (alp),Deal Attitude (attitude),Deals is a Divestiture Flag (divest),Division (division),Form of transaction (form),Percentage of consideration paid in cash (pct_cash),Percentage of consideration paid in other then cash or stock (p,Percentage of consideration paid in stock (pct_stk),Percentage of consideration which is unknown (pct_unknown),Percentage of Shares Sought (psought),Percentage of Shares Acquiror is Seeking to Own After Transacti,Related Deals Flag (rd),Deal is a Repurchase Flag (repurch),Source of Funds Borrowing Flag (sfbor),Source of Funds Common Stock Issue Flag (sfcom),Financing via Internal Corporate Funds Flag (sfcorp),Financing via Debt Securities Flag (sfdebt),Financing via Line of Credit Flag (sflc),Deal Status (status),Ranking Value incl Net Debt of Target (USD Mil) (rankval),TR Acquiror Industry Description (atf_mid_desc),TR Target Industry Description (ttf_mid_desc),TR Acquiror Macro Description (atf_macro_desc),TR Target Macro Description (ttf_macro_desc),Acquiror Nation (anation),Acquiror Nation Code (anationcode),Target Nation (tnation),Target Nation Code (tnationcode),Target Public Status (tpublic),Acquiror Public Status (apublic),deal_value,Enterprise Value ($mil) (entval),Equity Value ($mil) (eqval),Price Per Share (pr),Target Sales LTM ($mil) (salesltm),Target EBIT LTM ($mil) (ebitltm),Target Pre-Tax Income LTM ($mil) (ptincltm),Target Net Income LTM ($mil) (niltm),Target Net Assets ($mil) (netass),Target Total Assets ($mil) (tass),Target Cash Flow LTM ($mil) (cashflow),Target Book Value ($mil) (bookvalue),Target Common Equity ($mil) (commonequity),Target Earnings Per Share ($mil) (epsltm),Target Closing Stock Price 1 day Prior to Deal Announcement Day,Target Closing Stock Price 1 week Prior to Deal Announcement Da,Target Closing Stock Price 4 weeks Prior to Deal Announcement D,Consideration Offered (considoff),Consideration Sought (considsought),Vix,Interest rates,GDP growth,Healthcare growth,Covid19 
15.06.2018,3285776040,Avita Corp,Avita Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,4.1,4.1,No,Yes,No,No,Yes,No,No,0,1.187,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Taiwan,TW,Taiwan,TW,Public,Public,1.187,46.505,46.774,1.4,39.212,3.37,3.8,3.2,15.9,35.3,4.207,0.5,15.898,0.0986,1.402,1.393,1.397,"Cash Only, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
08.06.2022,3931203040,Bio Protech INC,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,23.1,23.1,No,No,No,No,No,No,No,1,1.196,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,1.196,20.816,4.196,0.77,15.245,-2.234,-2.2,-2,-6.8,15.6,-1.628,-1.6,-8.302,-0.3924,0.917,0.926,0.848,Cash Only,Convert. Preferred,22.5,4.25,2.1,4.5,0
18.06.2015,2767653040,Yagami Inc,Yagami Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3.7,3.7,No,Yes,No,No,No,No,No,0,1.223,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,1.223,,39.062,6.99,67.489,8.971,9.1,5.4,73.5,100.5,9.767,13.1,71.038,0.9586,6.971,6.885,7.001,"Cash Only, Cash Only",Ordinary Share,16.9,0.25,3.1,5.5,0
26.02.2024,4199097040,Sapporo Clinical Laboratory,Sapporo Clinical Laboratory,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,7,7,No,No,No,No,Yes,No,No,0,1.262,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,1.262,8.996,21.274,5.99,139.872,4.334,4.1,2.6,78.7,120.1,8.059,23.1,76.887,0.8249,6.711,6.775,6.882,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
30.05.2019,3427706040,Medyssey Co Ltd,Medyssey Co Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,1.277,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,South Korea,SK,South Korea,SK,Public,Public,1.277,56.786,45.409,11.82,17.575,1.444,2.1,2.1,13.7,30,2.554,3.9,13.711,0.5266,11.816,10.47,10.21,"Cash Only, Cash Only",Convert. Preferred,13.8,1.75,2.3,4.6,0
16.03.2020,3581411040,Ledlink Optics Inc,Ledlink Optics Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,4.1,4.1,No,Yes,No,No,Yes,No,No,0,1.324,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Taiwan,TW,Taiwan,TW,Public,Public,1.324,38.713,32.655,0.66,35.343,0.969,1.5,1.4,40.2,70,9.375,0.8,40.068,0.0267,0.662,0.782,0.811,"Cash Only, Cash Only",Ordinary Share,26.9,0.25,-3.4,9.7,1
19.04.2021,3730143040,Solco Biomedical Co Ltd,Kim Il,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,4.9,4.9,No,No,No,No,No,No,No,0,1.343,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Inv.,1.343,39.232,25.616,0.45,20.59,2.26,1.1,1.1,31,51.6,3.136,0.5,30.632,0.0248,0.351,0.349,0.348,Cash Only,Newly Issued Ord Sh,17.2,0.25,5.7,3.9,0
27.03.2020,3539910040,Sincere Corp,Sincere Corp,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,8.1,8.1,No,Yes,No,No,No,No,No,1,1.383,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,1.383,11.85,17.319,2.77,40.223,1.302,1.4,0.7,17.4,26.5,1.396,2.8,17.38,0.1132,,,,"Cash Only, Cash Only",Ordinary Share,26.9,0.25,-3.4,9.7,1
21.06.2018,3258604040,Ina Research Inc,Oriental Yeast Co Ltd,No,No,No,Neutral,No,No,Acq. Part. Int.,100,0,0,0,11.5,11.5,No,No,No,No,No,No,No,0,1.402,Food and Beverage,Healthcare Equipment & Supplies,Consumer Staples,Healthcare,Japan,JP,Japan,JP,Public,Sub.,1.402,18.322,12.7,4.08,22.828,1.848,1.6,1.4,6.8,32.4,2.812,2.2,6.677,0.445,8.328,9.194,10.875,"Cash Only, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
03.10.2014,2683155040,Medius Holdings Co Ltd,Fukui Medical Instruments Inc,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,1.9,1.9,Yes,No,No,No,No,No,No,0,1.458,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Priv.,1.458,119.212,77.817,,1344.072,12.572,14.9,7.3,65.7,440,21.789,22.4,65.709,2.5248,25.054,25.598,26.172,"Cash Only, Cash Only",Newly Issued Ord Sh,16.6,0.25,2.5,5.5,0
11.09.2018,3312801040,Bioptik Technology Inc,Bioptik Technology Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3.2,3.2,No,Yes,No,No,Yes,No,No,0,1.485,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Taiwan,TW,Taiwan,TW,Public,Public,1.485,51.371,51.438,1.07,14.864,0.384,1.4,1.2,28.7,52.5,1.481,0.6,28.405,0.0263,1.069,1.171,1.20140349,"Cash Only, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
03.10.2014,2683043040,Fukui Medical Instruments Inc,Medius Holdings Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,,,Yes,No,No,No,No,No,No,0,1.485,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Priv.,Public,1.485,,,,190.766,1.385,2,1.1,29.9,97.9,,,,1.8955,,,,"Cash Only, Cash Only",Stock,16.6,0.25,2.5,5.5,0
28.08.2024,4278218040,Organ Eco Tech Co Ltd,Rank Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,12.7,12.7,No,No,No,No,No,No,No,1,1.509,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,1.509,17.675,12.198,1.03,2.468,-3.728,-2.4,-2.4,10.2,20.7,-3.251,1,10.183,-0.3375,0.761,1.155,1.366,Cash Only,Convertible Bond,15.5,4.5,2.8,7,0
07.04.2014,2626937040,Yagami Inc,Yagami Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,4.9,4.9,No,Yes,No,No,No,No,No,0,1.583,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,1.583,,34.891,6.21,77.962,9.584,10.3,6.3,77.5,110.7,10.58,13.2,75.016,1.0689,6.195,6.103,6.073,"Cash Only, Cash Only",Ordinary Share,16.6,0.25,2.5,5.5,0
16.12.2021,3847619040,Thelma Therapeutics Co Ltd,Seocho Invest Assn No 2,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,8,8,No,No,No,No,No,No,No,1,1.688,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,1.688,33.635,21,1.44,7.885,-13.874,-13.6,-13.6,-0.8,24.2,-13.499,-0.1,-1.478,-1.1094,,,,Cash Only,Convertible Bond,17.2,0.25,5.7,3.9,0
18.04.2023,4067934040,Bio Protech INC,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,10.1,10.1,No,No,No,No,No,No,No,0,1.744,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,1.744,30.617,15.296,0.99,28.768,3.004,2.2,1.2,-1.2,20.5,3.806,-0.2,-2.611,0.0768,1.213,1.021,0.883,"Cash, Cash","Newly Issued Ord Sh, Convert. Preferred",21.7,5.33,2.9,7.5,0
15.07.2015,2939358040,Kodi-M Co Ltd,Medici 2014-2 Startup Fund,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,13.2,13.2,No,No,No,No,No,No,No,0,1.752,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Sub.,Priv.,1.752,21.637,13.588,,40.992,1.948,1.9,1.7,4.8,20.6,2.457,2,4.839,0.7192,,,,"Cash Only, Cash Only",Ordinary Share,16.9,0.25,3.1,5.5,0
23.03.2017,3084238040,Osteonic Co Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,7.1,7.1,No,No,No,No,No,No,No,0,1.792,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,1.792,27.793,23.313,,5.505,1.221,0.9,1.3,9.7,17.9,1.62,1.9,9.681,0.2665,3.145,3.105,4.123,"Cash Only, Cash Only",Convertible Bond,11,1.5,2.4,4.6,0
19.11.2021,3834934040,Dreamcis Inc,Dreamcis Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3.5,3.5,No,Yes,No,No,No,No,No,0,1.793,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,South Korea,SK,South Korea,SK,Public,Public,1.793,24.655,50.654,8.97,19.62,1.547,1.7,2.2,32.6,47.7,2.378,5.8,32.558,0.3902,8.965,8.446,9.639,Cash Only,Ordinary Share,17.2,0.25,5.7,3.9,0
10.09.2015,2800240040,Pani Teresa Medica SA,Sigvaris Holding AG,No,No,No,Friendly,No,No,Acq. Rem. Int.,0,0,0,100,18.6,100,Yes,No,No,No,No,No,No,0,1.844,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Switzerland,SZ,Poland,PL,Public,Priv.,1.844,10.17,9.897,4.12,5.011,0.825,0.8,0.7,4.3,5.4,1.13,1.8,4.284,0.2711,3.966,3.964,3.965,"Cash Only, Cash Only",Ordinary Share,16.9,0.25,3.1,5.5,0
29.04.2021,3735365040,Solco Biomedical Co Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,6.8,6.8,No,No,No,No,No,No,No,0,1.892,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,1.892,41.095,27.479,0.45,20.59,2.26,1.1,1.1,31,51.6,3.136,0.5,30.632,0.0248,0.353,0.35,0.347,Cash Only,Convertible Bond,17.2,0.25,5.7,3.9,0
31.10.2018,3355592040,Ilshinbiobase Co Ltd,Ilshinbiobase Co Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,3.1,3.1,No,Yes,No,No,No,No,No,0,1.956,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,South Korea,SK,South Korea,SK,Public,Public,1.956,54.632,65.734,1.45,12.993,2.569,2.8,2.3,33.1,37,3.013,0.8,33.721,0.0606,1.449,1.699,2.289,"Cash Only, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
28.02.2018,3221731040,DBK Pharmaceutical SAE,Marie Bin Mahfouz Group & Co,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,25.9,25.9,No,No,No,No,No,No,No,0,2.198,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Saudi Arabia,SD,Egypt,EG,Public,Priv.,2.198,16.649,16.802,0.06,-0.364,0.08,0.1,0.1,19.8,23.9,0.072,0.1,19.84,0.0004,0.057,0.057,0.057,"Cash Only, Cash Only",Ordinary Share,15.5,2.5,2.9,4.4,0
01.10.2015,2814315040,Ets Eloi Pernet SASU,A Plus Finance SA,Yes,Yes,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,Yes,No,No,No,No,No,No,0,2.235,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,France,FR,France,FR,Sub.,Priv.,2.235,,,,7.096,0.483,0.4,0.4,1.1,5.6,0.576,,1.14,,,,,"Cash, Cash Only",Stock,16.9,0.25,3.1,5.5,0
